故障字	故障码	msg	type	是否推送	causeDetail	solutionDetail
4361	E4361	BMS通讯超时	警告	Y	1. BMS通讯线连接松动；2. BMS通讯模块工作异常；	1. 检查通信线是否正常连接；2. 检查通信模块是否正常工作；
4873	E4873	WiFi棒通讯超时	故障	Y	1.WiFi模块连续松动；2. WiFi模块工作异常；	1. 检查通信线是否正常连接；2. 检查通信模块是否正常工作；
5129	E5129	电表通讯超时	警告	Y	1. 电表通讯线连接松动； 2. 电表通讯模块工作异常；	1. 检查通信线是否正常连接；2. 检查通信模块是否正常工作；
5641	E5641	内部CPU通讯异常	严重故障	Y	1. 内部通讯故障	1. 如果问题持续未解决，请联系当地经销商；
5642	E5642	内部CPU通讯异常	严重故障	Y	1. 内部通讯故障	1. 如果问题持续未解决，请联系当地经销商；
5644	E5644	内部CPU通讯异常	严重故障	Y	1. 内部通讯故障	1. 如果问题持续未解决，请联系当地经销商；
5657	E5657	内部CPU通讯异常	严重故障	Y	1. 内部通讯故障	1. 如果问题持续未解决，请联系当地经销商；
5658	E5658	内部CPU通讯异常	严重故障	Y	1. 内部通讯故障	1. 如果问题持续未解决，请联系当地经销商；
5896	E5896	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
5904	E5904	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
5912	E5912	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
5920	E5920	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
5928	E5928	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
5936	E5936	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
5944	E5944	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
5952	E5952	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
5960	E5960	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
5968	E5968	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
5976	E5976	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
5984	E5984	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
5992	E5992	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
6000	E6000	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
6152	E6152	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
6160	E6160	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
6408	E6408	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
6416	E6416	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
6424	E6424	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
6432	E6432	模拟数据采样异常	故障	Y	1. 数据采样模块故障	1. 如果问题持续未解决，请联系当地经销商；
